"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZAR 1.00",1.11107376246051,0.439941555129888,1.77426977082871,0.247956405707349,0.804168136824119,NA
"MIR606",2.61988385116366,0.31036431427366,1.67193275059435,0.185632056171715,0.852733313275859,NA
"OR9K2",0,NA,NA,NA,NA,NA
"AMER3",0,NA,NA,NA,NA,NA
"RACGAP1P",2.08719141497851,0.224489173389344,1.62226476015337,0.138380108415917,0.889940016948732,NA
"LINC00161",0.175492506763753,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"B3GALT5-AS1",0.162490253999831,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"FUT7",0,NA,NA,NA,NA,NA
"KCNMA1-AS1",0.14366520715329,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"KCNMA1-AS2",0,NA,NA,NA,NA,NA
"KCNMA1-AS3",0.343986090925873,-0.0418944779784173,3.76641839609554,-0.0111231609376821,0.991125184626534,NA
"ANKRD20A2",0,NA,NA,NA,NA,NA
"LINC00856",0,NA,NA,NA,NA,NA
"TBC1D21",0,NA,NA,NA,NA,NA
"LOC729815",0,NA,NA,NA,NA,NA
"NMRK2",0,NA,NA,NA,NA,NA
"LINC02679",1.87521698182896,-0.345878622354858,1.36527217803447,-0.253340416599425,0.800005166591183,NA
"BEND3P3",0,NA,NA,NA,NA,NA
"MOBP",0.350985013527506,-1.95560856930793,4.03343448678334,-0.484849469035884,0.627783128803674,NA
"P2RX2",0,NA,NA,NA,NA,NA
"BMS1P21",1.4450192347587,1.79065295103721,1.89103828229837,0.946915230537186,0.343681976306111,NA
"MBL1P",1.28189966875507,-0.719883581510258,1.91612787383899,-0.375697045765511,0.707142134406343,NA
"LOC100130698",0,NA,NA,NA,NA,NA
"DYDC2",0,NA,NA,NA,NA,NA
"DCHS2",1.95204239619962,-1.59217821186764,1.67281289197697,-0.951796952010553,0.341199968147466,NA
"LOC101929574",3.90664791676927,-0.498919850131909,1.19772266933862,-0.41655707360654,0.67700241307762,NA
"SH2D4B",1.14038103937835,-0.425504137741448,1.65102594283978,-0.257721048894953,0.796622200061826,NA
"LINC02655",0,NA,NA,NA,NA,NA
"GYPE",0,NA,NA,NA,NA,NA
"NRG3-AS1",0.356434362694076,-0.0418942471611123,3.72194006790959,-0.0112560241155742,0.991019181784628,NA
"LINC02650",0,NA,NA,NA,NA,NA
"GUCY2D",1.28638573314459,1.57235898273842,1.95284804863825,0.805161970402587,0.42072621875609,NA
"LINC01519",0,NA,NA,NA,NA,NA
"LINC02647",0,NA,NA,NA,NA,NA
"LOC101929662",0,NA,NA,NA,NA,NA
"GRID1-AS1",0,NA,NA,NA,NA,NA
"PTX4",0.468645715152952,0.849260921642229,3.43580481963428,0.247179617651455,0.804769218727871,NA
"PRDM1",0.955657762070387,3.36987758826209,2.7299925991529,1.2343907413184,0.217057337412816,NA
"NETO1",0,NA,NA,NA,NA,NA
"PROKR1",0.16849358416212,0.919876486434925,4.0804728567969,0.225433796208857,0.821641822635319,NA
"CCDC166",0,NA,NA,NA,NA,NA
"HAP1",2.61166064675264,0.689234673747003,1.27377150686302,0.54109757521929,0.588440329463785,NA
"BEND4",0,NA,NA,NA,NA,NA
"FAM245A",0,NA,NA,NA,NA,NA
"MIR4678",0,NA,NA,NA,NA,NA
"KRTDAP",0.663143804842916,-1.50120593101767,2.61233138970983,-0.574661368358945,0.565520339224728,NA
"USP17L30",0,NA,NA,NA,NA,NA
"MESP2",2.06926148638144,-0.621943121748967,1.6121834104488,-0.385776902130405,0.699661903069223,NA
"THSD7B",4.28691025481949,1.36654199465286,1.07545326069037,1.27066609456894,0.203847462496311,NA
"MIR769",1.80389828913732,-0.286305403230104,1.54312908760643,-0.185535614310917,0.85280894896989,NA
"PNMT",0,NA,NA,NA,NA,NA
"MIR4679-2",0,NA,NA,NA,NA,NA
"MIR4679-1",0,NA,NA,NA,NA,NA
"LCN1",0,NA,NA,NA,NA,NA
"SLC16A12-AS1",0.485760587390343,2.39120068756626,3.3061049410553,0.723268235642574,0.469515103909776,NA
"LIPJ",1.40422697084971,1.0882014038713,1.81930194719626,0.598142274045457,0.549745005034825,NA
"LINC00865",0.863352319063405,0.411936163964604,2.91125397861625,0.141497844911629,0.887476662426266,NA
"LINC01374",0,NA,NA,NA,NA,NA
"LINC01375",0,NA,NA,NA,NA,NA
"LINC02653",1.31317298736982,-0.028622173419271,2.17803609473779,-0.0131412759817999,0.989515080564675,NA
"XLOC_008559",0,NA,NA,NA,NA,NA
"LOC105378430",0,NA,NA,NA,NA,NA
"LINC00502",0,NA,NA,NA,NA,NA
"TNKS2-AS1",5.88868497259693,0.265245746916265,0.905929791869912,0.292788413955099,0.769683884701507,NA
"TNFRSF10C",0.69441712345766,-0.100574507882464,2.33242614929534,-0.0431201253308059,0.965605776524571,NA
"HBG1",0,NA,NA,NA,NA,NA
"MARK2P9",0,NA,NA,NA,NA,NA
"XIST",0.538371811063743,-1.07032417632196,3.30718613767922,-0.323635904289636,0.746213701993791,NA
"PRB4",0,NA,NA,NA,NA,NA
"AGBL4",6.76632528955984,0.0314047308164572,0.788410398084363,0.0398329739089727,0.968226287706432,NA
"SLC6A13",1.65314172473588,-1.28908315183874,1.77068095548201,-0.728015483448752,0.466604108204206,NA
"ADAM18",0,NA,NA,NA,NA,NA
"ESRRG",2.95492932424156,1.35626919027363,1.17485630643149,1.15441282721048,0.248330958755868,NA
"PLCE1-AS2",0,NA,NA,NA,NA,NA
"KCNN3",2.98710580064914,0.243186307732403,1.26394154740361,0.192403128318677,0.847426442138341,NA
"CISH",3.38206023210398,1.87403938624675,1.41001794604093,1.32908903146141,0.183818598554292,NA
"TLCD3B",2.79350282920865,0.475913821028896,1.24004415406908,0.383787802609473,0.701135729174125,NA
"SPN",0.319157713917043,-1.83594353751921,3.81811304670119,-0.48085101595026,0.630622388977047,NA
"TM6SF1",1.04161355112702,-2.31287256117639,2.07967475468212,-1.11213186387403,0.266081458318617,NA
"CSH2",0,NA,NA,NA,NA,NA
"CC2D2B",1.46150479499229,0.304306483886308,1.48116581089021,0.205450653565527,0.837220048406356,NA
"MIR3157",1.89921832878426,0.0912627594566378,1.71209581435094,0.0533047033300738,0.95748913281613,NA
"SLC35F4",0.321123755613942,1.79611186189213,3.81498259897262,0.470804732471342,0.63778018470429,NA
"OTOG",0,NA,NA,NA,NA,NA
"BLNK",0,NA,NA,NA,NA,NA
"OPALIN",0,NA,NA,NA,NA,NA
"PTGS1",1.19648273500193,1.19904260752821,1.94435205549062,0.616679784991742,0.537445957411948,NA
"MIR607",0,NA,NA,NA,NA,NA
"SLIT1-AS1",0,NA,NA,NA,NA,NA
"ARHGAP19-SLIT1",0,NA,NA,NA,NA,NA
"ADRA2A",5.65787360286517,-1.45019751651413,1.51316122664813,-0.958389291884335,0.337866492817606,NA
"TAC3",0.175492506763753,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"CBY2",0,NA,NA,NA,NA,NA
"AIPL1",0.14366520715329,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"MS4A2",0,NA,NA,NA,NA,NA
"ZBTB7C",3.5981401202465,1.09720149352372,1.18943465424494,0.922456302755216,0.356290613236885,NA
"MYO18B",4.45307436985822,-0.54975713216834,1.09221975332007,-0.503339305572178,0.61472573624299,NA
"LINC00866",0,NA,NA,NA,NA,NA
"ITIH1",0.28733041430658,-1.70602618566793,4.05687661202766,-0.420527008539027,0.674100503224131,NA
"TSHZ2",1.95786519028224,-0.500208129217368,1.70980598400292,-0.292552566722397,0.769864174385656,NA
"L3MBTL2-AS1",0.765121629837735,-1.81879203131952,2.50849131902435,-0.725054146102018,0.468418813401744,NA
"NCALD",0.14366520715329,-1.00367686520756,4.0804728567969,-0.24597072457809,0.805704894797527,NA
"EGFL8",0.487651298079163,-0.882212172218579,2.86284745082145,-0.308158987641986,0.75796135797716,NA
